gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1324442983																										urn:catalog:O:B:1278/1													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:1278/1	1278/1		E. Jørgensen																																	1922	07	26												EU				Norway		Sogn og Fjordane	Bremanger		Ålfotfossen, nær sjøen												61.80989	5.66900		707																																						E. Jørgensen, J. Vana	1922-07-26												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442958																										urn:catalog:O:B:1297/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1297/1	1297/1		B. Kaalaas, R. E. Fridtz																																	2000	08													EU				Norway		Sogn og Fjordane	Bremanger		In monte Randalskammen,												61.87462	5.38598		3354																																						R. E. Fridtz, V. Schiffner, J. Vana	2000-08-00												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442953																										urn:catalog:O:B:1283/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1283/1	1283/1		B. Kaalaas, R. E. Fridtz																																	1888	08	03												EU				Norway		Sogn og Fjordane	Bremanger		In monti sub Raulandskammen, Rugsund												61.87462	5.38598		3354																																						J. Vana	1984-00-00												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442860																										urn:catalog:O:B:4649/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:4649/1	4649/1		F. Kiær																																	1878	08	01												EU				Norway		Sør-Trøndelag	Oppdal		Nordre Knutshø, Dovre												62.33336	9.67563		3905																																						Kristian Hassel	2004-11-29												Tortula laureri								Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortula						(Schultz) Lindb.					
1324442819																										urn:catalog:O:B:4653/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:4653/1	4653/1		R. G. Lorentz																																	1868	09													EU				Norway		Sør-Trøndelag	Oppdal		Der Knutshø und Finshø bei Kongsvold auf Dovrefjel												62.35149	9.63741		5852																																						Kristian Hassel	2004-11-29												Tortula laureri								Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortula						(Schultz) Lindb.					
1324442789																										urn:catalog:O:B:4644/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:4644/1	4644/1		Chr. Kaurin																																	1893	07													EU				Norway		Sør-Trøndelag	Oppdal		Kongsvold												62.30674	9.60753		707																																						Kristian Hassel	2004-11-29												Tortula laureri								Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortula						(Schultz) Lindb.					
1324442775																										urn:catalog:O:B:12076/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:12076/1	12076/1		E. Jørgensen																																	1920	08	12												EU				Norway		Sogn og Fjordane	Bremanger		Svælgen, ovenfor Rise												61.76279	5.23790		707																																						Lars Söderström, Kristian Hassel	2005-05-30												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324442765																										urn:catalog:O:B:12074/1													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:12074/1	12074/1		E. Jørgensen																																	1920	08	12												EU				Norway		Sogn og Fjordane	Bremanger		Svælgen, på berg ovenfor Rise												61.76279	5.23790		707																																						A. C. Crundwell, Geir Løe	1968-00-00												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324442481																										urn:catalog:O:B:34489/1													2016-06-16																				O	B			PreservedSpecimen				urn:catalog:O:B:34489/1	34489/1		Steinar Vatne																																	2012	08	02												EU				Norway		Sogn og Fjordane	Gloppen		S for Røyrvikstøylvatnet(v/Nipestølen?)												61.69399	5.87345		7																																						Steinar Vatne, Arne Pedersen	2012-08-02												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442402																										urn:catalog:O:B:1269/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1269/1	1269/1		A. Pedersen																																	1929	08	19												EU				Norway		Hordaland	Vaksdal		Mellom Stavenes og Vaksdal j.b.sk. nær Sandvik												60.45334	5.68164		707																																						A. Pedersen, J. Vana	1929-08-19												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442393																										urn:catalog:O:B:1290/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1290/1	1290/1		E. Jørgensen																																	1919	07	25												EU				Norway		Sogn og Fjordane	Bremanger		Botnene, Norddalen												61.71636	5.02575		1414																																						E. Jørgensen, J. Vana	1919-07-25												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442223																										urn:catalog:O:B:12081/1													2017-05-09																				O	B			PreservedSpecimen				urn:catalog:O:B:12081/1	12081/1		Ingrid Størmer, Per Størmer																																	1973	07	09												EU				Norway		Sogn og Fjordane	Flora		Sørsiden av Svardalsvatnet, SØ for Osen												61.53466	5.44441		1118																																						A. C. Crundwell, Kristian Hassel	1973-00-00												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
