Slekt	Art	PopulærnavnBokmål	PopulærnavnNynorsk
Malaxis	loeselii	fettblad	feittblad
Liparis	loeselii	fettblad	feittblad
Riccardia	latissima	fettmose	feittmose
Aneura	latissima	fettmose	feittmose
Riccardia	pinguis	fettmose	feittmose
Jungermannia	pinguis	fettmose	feittmose
Aneura	pinguis	fettmose	feittmose
Ficus	carica	fiken	fiken
Chenopodium	ficifolium	fikenmelde	fikenmelde
Chenopodium	serotinum	fikenmelde	fikenmelde
Cerastium	tomentosum	filtarve	filtarve
Rubus	steracanthos	filtbjørnebær	filtbjørnebær
Rubus	stereacanthos	filtbjørnebær	filtbjørnebær
Polytrichum	affine	filtbjørnemose	filtbjørnemose
Polytrichum	alpestre	filtbjørnemose	filtbjørnemose
Polytrichum	juniperinum	filtbjørnemose	filtbjørnemose
Polytrichum	juniperinum	filtbjørnemose	filtbjørnemose
Polytrichum	juniperinum	filtbjørnemose	filtbjørnemose
Polytrichum	juniperinum	filtbjørnemose	filtbjørnemose
Polytrichum	strictum	filtbjørnemose	filtbjørnemose
Polytrichum	strictum	filtbjørnemose	filtbjørnemose
Orthotrichum	imperfectum	filtbustehette	filtbustehette
Dorcadion	imperfectum	filtbustehette	filtbustehette
Orthotrichum	schubartianum	filtbustehette	filtbustehette
Orthotrichum	urnigerum	filtbustehette	filtbustehette
Orthotrichum	urnigerum	filtbustehette	filtbustehette
Orthotrichum	urnigerum	filtbustehette	filtbustehette
Orthotrichum	urnigerum	filtbustehette	filtbustehette
Dorcadion	urnigerum	filtbustehette	filtbustehette
Orthotrichum	venturii	filtbustehette	filtbustehette
Centaurea	dealbata	filtknoppurt	filtknoppurt
Psephellus	dealbatus	filtknoppurt	filtknoppurt
Verbascum	thapsus	filtkongslys	filtkongslys
Viburnum	lantana	filtkorsved	filtkrossved
Cotoneaster	nebrodensis	filtmispel	filtmispel
Cotoneaster	tomentosa	filtmispel	filtmispel
Cotoneaster	tomentosus	filtmispel	filtmispel
Potentilla	×inclinata	filtmure	filtmure
Potentilla	canescens	filtmure	filtmure
Potentilla	inclinata	filtmure	filtmure
Potentilla	x inclinata	filtmure	filtmure
Potentilla	xinclinata	filtmure	filtmure
Rosa	balsamica	filtrose	filtrose
Rosa	obtusifolia	filtrose	filtrose
Achillea	tomentosa	filtryllik	filtryllik
Audouinella	purpurea	filtrødpusling	filtraudpusling
Rhodochorton	purpureum	filtrødpusling	filtraudpusling
Rhodochorton	rothii	filtrødpusling	filtraudpusling
Philadelphus	pubescens	filtskjærsmin	filtskjærsmin
Polygonum	weyrichii	filtslirekne	filtslirekne
Persicaria	weyrichii	filtslirekne	filtslirekne
Aconogonum	weyrichii	filtslirekne	filtslirekne
Aconogonon	weyrichii	filtslirekne	filtslirekne
Spiraea	tomentosa	filtspirea	filtspirea
Carex	filiformis	filtstarr	filtstorr
Carex	tomentosa	filtstarr	filtstorr
Anemone	silvestris	filtsymre	filtsymre
Anemone	sylvestris	filtsymre	filtsymre
Solanum	marginatum	filtsøtvier	filtsøtvier
Campylopus	schimperi	filtsåtemose	filtsåtemose
Campylopus	subulatus	filtsåtemose	filtsåtemose
Bryum	affine	filtvrangmose	filtvrangmose
Bryum	affine	filtvrangmose	filtvrangmose
Bryum	affine	filtvrangmose	filtvrangmose
Bryum	alandicum	filtvrangmose	filtvrangmose
Bryum	arenarium	filtvrangmose	filtvrangmose
Bryum	baenitzii	filtvrangmose	filtvrangmose
Hypnum	boreale	filtvrangmose	filtvrangmose
Bryum	boreale	filtvrangmose	filtvrangmose
Bryum	bryhnii	filtvrangmose	filtvrangmose
Bryum	bulbifolium	filtvrangmose	filtvrangmose
Bryum	caespiticium	filtvrangmose	filtvrangmose
Bryum	calcicola	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	cirrhatum	filtvrangmose	filtvrangmose
Bryum	clathratum	filtvrangmose	filtvrangmose
Bryum	contextum	filtvrangmose	filtvrangmose
Bryum	crispulum	filtvrangmose	filtvrangmose
Bryum	flexisetum	filtvrangmose	filtvrangmose
Bryum	inclinatum	filtvrangmose	filtvrangmose
Bryum	inclinatum	filtvrangmose	filtvrangmose
Bryum	jemtlandicum	filtvrangmose	filtvrangmose
Bryum	kaalaasii	filtvrangmose	filtvrangmose
Bryum	limosum	filtvrangmose	filtvrangmose
Bryum	lipsiense	filtvrangmose	filtvrangmose
Bryum	lonchocaulon	filtvrangmose	filtvrangmose
Bryum	misandrum	filtvrangmose	filtvrangmose
Bryum	mitaviense	filtvrangmose	filtvrangmose
Bryum	nigricans	filtvrangmose	filtvrangmose
Bryum	obconicum	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	pallescens	filtvrangmose	filtvrangmose
Bryum	producticolle	filtvrangmose	filtvrangmose
Bryum	pseudotriquetrum	filtvrangmose	filtvrangmose
Bryum	pumilum	filtvrangmose	filtvrangmose
Bryum	quarnboense	filtvrangmose	filtvrangmose
Bryum	rosenbergiae	filtvrangmose	filtvrangmose
Bryum	sarekense	filtvrangmose	filtvrangmose
Bryum	saxatile	filtvrangmose	filtvrangmose
Bryum	subcirratum	filtvrangmose	filtvrangmose
Bryum	subglobosum	filtvrangmose	filtvrangmose
Bryum	subrotundum	filtvrangmose	filtvrangmose
Bryum	subrotundum	filtvrangmose	filtvrangmose
Bryum	subrutilum	filtvrangmose	filtvrangmose
Bryum	sulcatum	filtvrangmose	filtvrangmose
Bryum	sysphinctum	filtvrangmose	filtvrangmose
Bryum	tardum	filtvrangmose	filtvrangmose
Bryum	teretinerve	filtvrangmose	filtvrangmose
Bryum	umbratum	filtvrangmose	filtvrangmose
Puccinellia	vahliana	fimbulsaltgras	fimbulsaltgras
Poa	vahliana	fimbulsaltgras	fimbulsaltgras
Phippsia	vahliana	fimbulsaltgras	fimbulsaltgras
Glyceria	vahliana	fimbulsaltgras	fimbulsaltgras
Colpodium	vahlianum	fimbulsaltgras	fimbulsaltgras
Digitaria	glabra	fingerhirse	fingerhirse
Syntherisma	glabrum	fingerhirse	fingerhirse
Digitaria	humifusa	fingerhirse	fingerhirse
Panicum	ischaemum	fingerhirse	fingerhirse
Digitaria	ischaemum	fingerhirse	fingerhirse
Panicum	lineare	fingerhirse	fingerhirse
Corydalis	fabacea	fingerlerkespore	fingerlerkespore
Pistolochia	pumila	fingerlerkespore	fingerlerkespore
Fumaria	pumila	fingerlerkespore	fingerlerkespore
Corydalis	pumila	fingerlerkespore	fingerlerkespore
Bulbocapnos	pumila	fingerlerkespore	fingerlerkespore
Jungermannia	multifida	fingersaftmose	fingersaftmose
Riccardia	palmata	fingersaftmose	fingersaftmose
Jungermannia	palmata	fingersaftmose	fingersaftmose
Aneura	palmata	fingersaftmose	fingersaftmose
Carex	digitata	fingerstarr	fingerstorr
Carex	digitata	fingerstarr	fingerstorr
Vogelia	paniculata	finkefrø	finkefrø
Neslia	paniculata	finkefrø	finkefrø
Myagrum	paniculatum	finkefrø	finkefrø
Lycopodium	complanatum	finnjamne	finnjamne
Diphasium	complanatum	finnjamne	finnjamne
Diphasiastrum	complanatum	finnjamne	finnjamne
Tripleurospermum	hookeri	finnmarksbalderbrå	finnmarksbalderbrå
Matricaria	hookeri	finnmarksbalderbrå	finnmarksbalderbrå
Matricaria	inodora	finnmarksbalderbrå	finnmarksbalderbrå
Matricaria	maritima	finnmarksbalderbrå	finnmarksbalderbrå
Tripleurospermum	maritimum	finnmarksbalderbrå	finnmarksbalderbrå
Tripleurospermum	phaeocephalum	finnmarksbalderbrå	finnmarksbalderbrå
Thalictrum	boreale	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	flavum	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	rariflorum	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	simplex	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	simplex	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	simplex	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	simplex	finnmarksfrøstjerne	finnmarksfrøstjerne
Thalictrum	strictum	finnmarksfrøstjerne	finnmarksfrøstjerne
Melandrium	affine	finnmarksjonsokblom	finnmarksjonsokblom
Melandrium	affine	finnmarksjonsokblom	finnmarksjonsokblom
Wahlbergella	affinis	finnmarksjonsokblom	finnmarksjonsokblom
Lychnis	affinis	finnmarksjonsokblom	finnmarksjonsokblom
Gastrolychnis	affinis	finnmarksjonsokblom	finnmarksjonsokblom
Gastrolychnis	angustiflora	finnmarksjonsokblom	finnmarksjonsokblom
Wahlbergella	involucrata	finnmarksjonsokblom	finnmarksjonsokblom
Silene	involucrata	finnmarksjonsokblom	finnmarksjonsokblom
Gastrolychnis	involucrata	finnmarksjonsokblom	finnmarksjonsokblom
Melandrium	tenellum	finnmarksjonsokblom	finnmarksjonsokblom
Gastrolychnis	vahlii	finnmarksjonsokblom	finnmarksjonsokblom
Agropyron	angustiglume	finnmarkskveke	finnmarkskveke
Roegneria	angustiglumis	finnmarkskveke	finnmarkskveke
Agropyron	mutabile	finnmarkskveke	finnmarkskveke
Roegneria	mutabilis	finnmarkskveke	finnmarkskveke
Elymus	mutabilis	finnmarkskveke	finnmarkskveke
Taraxacum	ceratophorum	finnmarksløvetann	finnmarksløvetann
Taraxacum	norvegicum	finnmarksløvetann	finnmarksløvetann
Veratrum	album	finnmarksnyserot	finnmarksnyserot
Veratrum	album	finnmarksnyserot	finnmarksnyserot
Veratrum	lobelianum	finnmarksnyserot	finnmarksnyserot
Veratrum	lobelianum	finnmarksnyserot	finnmarksnyserot
Veratrum	misae	finnmarksnyserot	finnmarksnyserot
Primula	finmarchia	finnmarksnøkleblom	finnmarksnøkleblom
Primula	finmarchica	finnmarksnøkleblom	finnmarksnøkleblom
Primula	nutans	finnmarksnøkleblom	finnmarksnøkleblom
Primula	nutans	finnmarksnøkleblom	finnmarksnøkleblom
Primula	sibirica	finnmarksnøkleblom	finnmarksnøkleblom
Primula	sibirica	finnmarksnøkleblom	finnmarksnøkleblom
Primula	sibirica	finnmarksnøkleblom	finnmarksnøkleblom
Rhododendron	tomentosum	finnmarkspors	finnmarkspors
Ledum	tomentosum	finnmarkspors	finnmarkspors
Alopecurus	alpestris	finnmarksreverumpe	finnmarksreverumpe
Alopecurus	pratensis	finnmarksreverumpe	finnmarksreverumpe
Alopecurus	pratensis	finnmarksreverumpe	finnmarksreverumpe
Calamagrostis	lapponica	finnmarksrørkvein	finnmarksrøyrkvein
Arundo	lapponica	finnmarksrørkvein	finnmarksrøyrkvein
Puccinellia	finmarchica	finnmarkssaltgras	finnmarkssaltgras
Juncus	arcticus	finnmarkssiv	finnmarkssiv
Carex	laxa	finnmarksstarr	finnmarksstorr
Tripolium	pannonicum	finnmarksstrandstjerne	finnmarksstrandstjerne
Tripolium	pannonicum	finnmarksstrandstjerne	finnmarksstrandstjerne
Aster	tripolium	finnmarksstrandstjerne	finnmarksstrandstjerne
Aster	tripolium	finnmarksstrandstjerne	finnmarksstrandstjerne
Cineraria	aurantiaca	finnmarkssvineblom	finnmarkssvineblom
Tephroseris	campestris	finnmarkssvineblom	finnmarkssvineblom
Senecio	campestris	finnmarkssvineblom	finnmarkssvineblom
Cineraria	campestris	finnmarkssvineblom	finnmarkssvineblom
Senecio	czernjaevii	finnmarkssvineblom	finnmarkssvineblom
Tephroseris	integrifolia	finnmarkssvineblom	finnmarkssvineblom
Tephroseris	integrifolia	finnmarkssvineblom	finnmarkssvineblom
Othonna	integrifolia	finnmarkssvineblom	finnmarkssvineblom
Senecio	integrifolius	finnmarkssvineblom	finnmarkssvineblom
Senecio	integrifolius	finnmarkssvineblom	finnmarkssvineblom
Salix	bebbiana	finnmarksvier	finnmarksvier
Salix	cinerascens	finnmarksvier	finnmarksvier
Salix	depressa	finnmarksvier	finnmarksvier
Salix	depressa	finnmarksvier	finnmarksvier
Salix	starkeana	finnmarksvier	finnmarksvier
Salix	starkeana	finnmarksvier	finnmarksvier
Salix	vagans	finnmarksvier	finnmarksvier
Salix	vagans	finnmarksvier	finnmarksvier
Salix	xerophila	finnmarksvier	finnmarksvier
Chamaedaphne	calyculata	finnmyrt	finnmyrt
Cassandra	calyculata	finnmyrt	finnmyrt
Andromeda	calyculata	finnmyrt	finnmyrt
Rosa	acicularis	finnrose	finnrose
Nardus	stricta	finnskjegg	finnskjegg
Stellaria	fennica	finnstjerneblom	finnstjerneblom
Stellaria	palustris	finnstjerneblom	finnstjerneblom
Gymnocarpium	continentale	finntelg	finntelg
Dryopteris	continentalis	finntelg	finntelg
Gymnocarpium	jessoense	finntelg	finntelg
Gymnocarpium	jessoense	finntelg	finntelg
Gymnocarpium	jessoënse	finntelg	finntelg
Gymnocarpium	jessoënse	finntelg	finntelg
Dryopteris	pulchella	finntelg	finntelg
Verbascum	phoeniceum	fiolkongslys	fiolkongslys
Trentepohlia	iolithus	fiolstein	fiolstein
Paris	quadrifolia	firblad	firblad
Vicia	tetrasperma	firfrøvikke	firfrøvikke
Ervum	tetraspermum	firfrøvikke	firfrøvikke
Hypericum	dubium	firkantperikum	firkantperikum
Hypericum	maculatum	firkantperikum	firkantperikum
Hypericum	quadrangulum	firkantperikum	firkantperikum
Tillaea	aquatica	firling	firling
Crassula	aquatica	firling	firling
Bulliardia	aquatica	firling	firling
Bulliarda	aquatica	firling	firling
Teucrium	scorodonia	firtann	firtann
Tetraphis	pellucida	firtannmose	firtannmose
Georgia	pellucida	firtannmose	firtannmose
Tetraphis	trachypoda	firtannmose	firtannmose
Georgia	trachypoda	firtannmose	firtannmose
Veronica	austriaca	firtannveronika	firtannveronika
Veronica	latifolia	firtannveronika	firtannveronika
Veronica	maxima	firtannveronika	firtannveronika
Veronica	pseudochamaedrys	firtannveronika	firtannveronika
Veronica	teucrium	firtannveronika	firtannveronika
Cystoclonium	purpurascens	fiskeløk	fiskelauk
Cystoclonium	purpureum	fiskeløk	fiskelauk
Woodsia	alpina	fjell-lodnebregne	fjell-lodnebregne
Acrostichum	alpinum	fjell-lodnebregne	fjell-lodnebregne
Woodsia	bellii	fjell-lodnebregne	fjell-lodnebregne
Woodsia	hyperborea	fjell-lodnebregne	fjell-lodnebregne
Polypodium	hyperboreum	fjell-lodnebregne	fjell-lodnebregne
Acrostichum	hyperboreum	fjell-lodnebregne	fjell-lodnebregne
Woodsia	ilvensis	fjell-lodnebregne	fjell-lodnebregne
Woodsia	ilvensis	fjell-lodnebregne	fjell-lodnebregne
Woodsia	ilvensis	fjell-lodnebregne	fjell-lodnebregne
Woodsia	ilvensis	fjell-lodnebregne	fjell-lodnebregne
Rhyzomatopteris	montana	fjell-lok	fjell-lok
Rhizomatopteris	montana	fjell-lok	fjell-lok
Cystopteris	montana	fjell-lok	fjell-lok
Polypodium	montanum	fjell-lok	fjell-lok
Aspidium	montanum	fjell-lok	fjell-lok
Hypnum	plumosum	fjell-lundmose	fjell-lundmose
Hypnum	salebrosum	fjell-lundmose	fjell-lundmose
Brachythecium	salebrosum	fjell-lundmose	fjell-lundmose
Chamberlainia	turgida	fjell-lundmose	fjell-lundmose
Hypnum	turgidum	fjell-lundmose	fjell-lundmose
Brachythecium	turgidum	fjell-lundmose	fjell-lundmose
Huperzia	appalachiana	fjell-lusegras	fjell-lusegras
Huperzia	appressa	fjell-lusegras	fjell-lusegras
Lycopodium	selago	fjell-lusegras	fjell-lusegras
Lycopodium	selago	fjell-lusegras	fjell-lusegras
Lycopodium	selago	fjell-lusegras	fjell-lusegras
Huperzia	selago	fjell-lusegras	fjell-lusegras
Cerastium	alpinum	fjellarve	fjellarve
Erigeron	boreale	fjellbakkestjerne	fjellbakkestjerne
Trimorpha	borealis	fjellbakkestjerne	fjellbakkestjerne
Erigeron	borealis	fjellbakkestjerne	fjellbakkestjerne
Gentianella	campestris	fjellbakkesøte	fjellbakkesøte
Gentianella	campestris	fjellbakkesøte	fjellbakkesøte
Gentianella	campestris	fjellbakkesøte	fjellbakkesøte
Gentiana	campestris	fjellbakkesøte	fjellbakkesøte
Gentiana	campestris	fjellbakkesøte	fjellbakkesøte
Gentiana	islandica	fjellbakkesøte	fjellbakkesøte
Caltha	arctica	fjellbekkeblom	fjellbekkeblom
Caltha	arctica	fjellbekkeblom	fjellbekkeblom
Caltha	minor	fjellbekkeblom	fjellbekkeblom
Caltha	palustris	fjellbekkeblom	fjellbekkeblom
Caltha	palustris	fjellbekkeblom	fjellbekkeblom
Caltha	palustris	fjellbekkeblom	fjellbekkeblom
Caltha	palustris	fjellbekkeblom	fjellbekkeblom
Caltha	palustris	fjellbekkeblom	fjellbekkeblom
Polytrichum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichastrum	alpinum	fjellbinnemose	fjellbinnemose
Pogonatum	alpinum	fjellbinnemose	fjellbinnemose
Pogonatum	alpinum	fjellbinnemose	fjellbinnemose
Polytrichum	arcticum	fjellbinnemose	fjellbinnemose
Pogonatum	macounii	fjellbinnemose	fjellbinnemose
Polytrichum	sylvaticum	fjellbinnemose	fjellbinnemose
Betula	affinis	fjellbjørk	fjellbjørk
Betula	callosa	fjellbjørk	fjellbjørk
Betula	czerepanovii	fjellbjørk	fjellbjørk
Betula	odorata	fjellbjørk	fjellbjørk
Betula	odorata	fjellbjørk	fjellbjørk
Betula	odorata	fjellbjørk	fjellbjørk
Betula	pubescens	fjellbjørk	fjellbjørk
Betula	pubescens	fjellbjørk	fjellbjørk
Betula	pubescens	fjellbjørk	fjellbjørk
Betula	pubescens	fjellbjørk	fjellbjørk
Betula	pulchella	fjellbjørk	fjellbjørk
Betula	subalpina	fjellbjørk	fjellbjørk
Betula	subarctica	fjellbjørk	fjellbjørk
Betula	tortuosa	fjellbjørk	fjellbjørk
Sanionia	georgicouncinata	fjellbleikmose	fjellbleikmose
Sanionia	nivalis	fjellbleikmose	fjellbleikmose
Salix	hastata	fjellbleikvier	fjellbleikvier
Salix	hastata	fjellbleikvier	fjellbleikvier
Salix	hastata	fjellbleikvier	fjellbleikvier
Schistidium	venetum	fjellblomstermose	fjellblomstermose
Campanula	gieseckiana	fjellblåklokke	fjellblåklokke
Campanula	giesekiana	fjellblåklokke	fjellblåklokke
Campanula	groenlandica	fjellblåklokke	fjellblåklokke
Campanula	rotundifolia	fjellblåklokke	fjellblåklokke
Deschampsia	alpina	fjellbunke	fjellbunke
Aira	alpina	fjellbunke	fjellbunke
Aera	alpina	fjellbunke	fjellbunke
Deschampsia	caespitosa	fjellbunke	fjellbunke
Deschampsia	cespitosa	fjellbunke	fjellbunke
Polypodium	alpestre	fjellburkne	fjellburkne
Athyrium	alpestre	fjellburkne	fjellburkne
Aspidium	alpestre	fjellburkne	fjellburkne
Phegopteris	alpestris	fjellburkne	fjellburkne
Athyrium	distentifolium	fjellburkne	fjellburkne
Polypodium	rhaeticum	fjellburkne	fjellburkne
Schizophyllopsis	sphenoloboides	fjelldraugmose	
Anastrophyllum	sphenoloboides	fjelldraugmose	
Abies	balsamea	fjelledelgran	fjelledelgran
Abies	lasiocarpa	fjelledelgran	fjelledelgran
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	communis	fjelleiner	fjelleiner
Juniperus	nana	fjelleiner	fjelleiner
Juniperus	sibirica	fjelleiner	fjelleiner
Plagiomnium	curvatulum	fjellfagermose	fjellfagermose
Mnium	curvatulum	fjellfagermose	fjellfagermose
Astrophyllum	curvatulum	fjellfagermose	fjellfagermose
Plagiomnium	medium	fjellfagermose	fjellfagermose
Plagiomnium	medium	fjellfagermose	fjellfagermose
Mnium	medium	fjellfagermose	fjellfagermose
Mnium	medium	fjellfagermose	fjellfagermose
Mnium	medium	fjellfagermose	fjellfagermose
Mnium	medium	fjellfagermose	fjellfagermose
Mnium	medium	fjellfagermose	fjellfagermose
Astrophyllum	medium	fjellfagermose	fjellfagermose
Astrophyllum	medium	fjellfagermose	fjellfagermose
Gymnocybe	turgida	fjellfiltmose	fjellfiltmose
Mnium	turgidum	fjellfiltmose	fjellfiltmose
Hypnum	turgidum	fjellfiltmose	fjellfiltmose
Bryum	turgidum	fjellfiltmose	fjellfiltmose
Aulacomnium	turgidum	fjellfiltmose	fjellfiltmose
Sphaerocephalus	turgidus	fjellfiltmose	fjellfiltmose
Viola	biflora	fjellfiol	fjellfiol
Polemonium	caeruleum	fjellflokk	fjellflokk
Polemonium	coeruleum	fjellflokk	fjellflokk
Myosotis	decumbens	fjellforglemmegei	fjellminneblom
Myosotis	frigida	fjellforglemmegei	fjellminneblom
Myosotis	silvatica	fjellforglemmegei	fjellminneblom
Myosotis	sylvatica	fjellforglemmegei	fjellminneblom
Thalictrum	alpinum	fjellfrøstjerne	fjellfrøstjerne
Scorzoneroides	autumnalis	fjellfølblom	fjellfølblom
Leontodon	autumnale	fjellføllblom	fjellfølblom
Leontodon	autumnale	fjellføllblom	fjellfølblom
Leontodon	autumnale	fjellføllblom	fjellfølblom
Leontodon	autumnale	fjellføllblom	fjellfølblom
Scorzoneroides	autumnalis	fjellføllblom	fjellfølblom
Scorzoneroides	autumnalis	fjellføllblom	fjellfølblom
Scorzoneroides	autumnalis	fjellføllblom	fjellfølblom
Leontodon	autumnalis	fjellføllblom	fjellfølblom
Leontodon	autumnalis	fjellføllblom	fjellfølblom
Leontodon	autumnalis	fjellføllblom	fjellfølblom
Leontodon	autumnalis	fjellføllblom	fjellfølblom
Leontodon	taraxaci	fjellføllblom	fjellfølblom
Hieracium	taraxaci	fjellføllblom	fjellfølblom
Apargia	taraxaci	fjellføllblom	fjellfølblom
Mnium	arcticum	fjellgittermose	fjellgittermose
Cinclidium	arcticum	fjellgittermose	fjellgittermose
Anthoxanthum	alpinum	fjellgulaks	fjellgulaks
Anthoxanthum	nipponicum	fjellgulaks	fjellgulaks
Anthoxanthum	odoratum	fjellgulaks	fjellgulaks
Ulota	americana	fjellgullhette	fjellgullhette
Orthotrichum	crispum	fjellgullhette	fjellgullhette
Weissia	curvifolia	fjellgullhette	fjellgullhette
Ulota	curvifolia	fjellgullhette	fjellgullhette
Orthotrichum	curvifolium	fjellgullhette	fjellgullhette
Ulota	scabrida	fjellgullhette	fjellgullhette
Solidago	lapponica	fjellgullris	fjellgullris
Solidago	minuta	fjellgullris	fjellgullris
Solidago	virgaurea	fjellgullris	fjellgullris
Solidago	virgaurea	fjellgullris	fjellgullris
Solidago	virgaurea	fjellgullris	fjellgullris
Solidago	virgaurea	fjellgullris	fjellgullris
Padus	avium	fjellhegg	fjellhegg
Prunus	borealis	fjellhegg	fjellhegg
Padus	borealis	fjellhegg	fjellhegg
Prunus	padus	fjellhegg	fjellhegg
Prunus	padus	fjellhegg	fjellhegg
Cerasus	schuebleri	fjellhegg	fjellhegg
Tsuga	mertensiana	fjellhemlokk	fjellhemlokk
Nardia	alpina	fjellhutremose	fjellhutremose
Marsupella	alpina	fjellhutremose	fjellhutremose
Marsupella	alpina	fjellhutremose	fjellhutremose
Cesia	alpina	fjellhutremose	fjellhutremose
Cesia	alpina	fjellhutremose	fjellhutremose
Acolea	alpina	fjellhutremose	fjellhutremose
Gymnomitrion	alpinum	fjellhutremose	fjellhutremose
Gymnomitrion	alpinum	fjellhutremose	fjellhutremose
Sarcoscyphus	alpinus	fjellhutremose	fjellhutremose
Sarcoscyphus	alpinus	fjellhutremose	fjellhutremose
Pseudorchis	albida	fjellhvitkurle	fjellkvitkurle
Leucorchis	albida	fjellhvitkurle	fjellkvitkurle
Leucorchis	albida	fjellhvitkurle	fjellkvitkurle
Habenaria	albida	fjellhvitkurle	fjellkvitkurle
Pseudorchis	straminea	fjellhvitkurle	fjellkvitkurle
Leucorchis	straminea	fjellhvitkurle	fjellkvitkurle
Habenaria	straminea	fjellhvitkurle	fjellkvitkurle
Tortula	aciphylla	fjellhårstjerne	fjellhårstjerne
Syntrichia	aciphylla	fjellhårstjerne	fjellhårstjerne
Syntrichia	aciphylla	fjellhårstjerne	fjellhårstjerne
Barbula	aciphylla	fjellhårstjerne	fjellhårstjerne
Tortula	norvegica	fjellhårstjerne	fjellhårstjerne
Tortula	norvegica	fjellhårstjerne	fjellhårstjerne
Syntrichia	norvegica	fjellhårstjerne	fjellhårstjerne
Syntrichia	norvegica	fjellhårstjerne	fjellhårstjerne
Barbula	norvegica	fjellhårstjerne	fjellhårstjerne
Tortula	ruralis	fjellhårstjerne	fjellhårstjerne
Syntrichia	ruralis	fjellhårstjerne	fjellhårstjerne
Lycopodium	alpinum	fjelljamne	fjelljamne
Diphasium	alpinum	fjelljamne	fjelljamne
Diphasiastrum	alpinum	fjelljamne	fjelljamne
Rhinanthus	groenlandicus	fjellkall	fjellkall
Alectorolophus	groenlandicus	fjellkall	fjellkall
Rhinanthus	minor	fjellkall	fjellkall
Alectorolophus	minor	fjellkall	fjellkall
Antennaria	alpina	fjellkattefot	fjellkattefot
Gnaphalium	alpinum	fjellkattefot	fjellkattefot
Leersia	alpina	fjellklokkemose	fjellklokkemose
Leersia	alpina	fjellklokkemose	fjellklokkemose
Encalypta	alpina	fjellklokkemose	fjellklokkemose
Encalypta	alpina	fjellklokkemose	fjellklokkemose
Encalypta	alpina	fjellklokkemose	fjellklokkemose
Encalypta	caucasica	fjellklokkemose	fjellklokkemose
Encalypta	ciliata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	commutata	fjellklokkemose	fjellklokkemose
Encalypta	giraldii	fjellklokkemose	fjellklokkemose
Encalypta	lacera	fjellklokkemose	fjellklokkemose
Cephalaria	alpina	fjellknapp	fjellknapp
Empetrum	eamesii	fjellkrekling	fjellkrekling
Empetrum	hermaphroditum	fjellkrekling	fjellkrekling
Empetrum	hermaphroditum	fjellkrekling	fjellkrekling
Empetrum	hermaphroditum	fjellkrekling	fjellkrekling
Empetrum	nigrum	fjellkrekling	fjellkrekling
Empetrum	nigrum	fjellkrekling	fjellkrekling
Polytrichum	capillare	fjellkrukkemose	fjellkrukkemose
Polytrichum	capillare	fjellkrukkemose	fjellkrukkemose
Pogonatum	capillare	fjellkrukkemose	fjellkrukkemose
Pogonatum	capillare	fjellkrukkemose	fjellkrukkemose
Polytrichum	dentatum	fjellkrukkemose	fjellkrukkemose
Polytrichum	dentatum	fjellkrukkemose	fjellkrukkemose
Pogonatum	dentatum	fjellkrukkemose	fjellkrukkemose
Polytrichum	longidens	fjellkrukkemose	fjellkrukkemose
Pogonatum	longidens	fjellkrukkemose	fjellkrukkemose
Polytrichum	loricalyx	fjellkrukkemose	fjellkrukkemose
